Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 02461,7404,,,2298,34,376,70943,2461
ZCTA5 02462,1420,,,462,0,86,38382,2462
ZCTA5 02464,3103,,,1088,38,184,50112,2464
ZCTA5 02465,11964,,,4323,227,472,63154,2465
ZCTA5 02466,8761,,,2530,185,411,36788,2466
ZCTA5 02467,21864,,,4638,357,792,36419,2467
ZCTA5 02468,5688,,,1834,49,406,92426,2468
ZCTA5 02472,35387,,,14137,2630,1224,54002,2472
ZCTA5 02474,28333,,,9097,794,1272,58663,2474
ZCTA5 02476,16814,,,5794,728,447,58929,2476
ZCTA5 02478,26033,,,7736,947,1195,60345,2478
ZCTA5 02481,16447,,,3972,79,659,56009,2481
ZCTA5 02482,11039,,,3139,25,641,63870,2482
ZCTA5 02492,20258,,,6759,1,832,59133,2492
ZCTA5 02493,12067,,,3435,22,727,57826,2493
ZCTA5 02494,10477,,,3553,67,372,65100,2494
ZCTA5 02532,13238,,,5965,0,275,36752,2532
ZCTA5 02534,741,,,375,0,31,28788,2534
ZCTA5 02535,1463,,,457,16,82,33750,2535
ZCTA5 02536,19370,,,7785,64,409,32448,2536
ZCTA5 02537,6535,,,2737,19,141,40049,2537
ZCTA5 02538,3652,,,1736,0,31,30926,2538
ZCTA5 02539,4306,,,1068,18,213,39607,2539
ZCTA5 02540,8389,,,2834,90,285,34272,2540
ZCTA5 02542,909,,,349,0,14,32250,2542
ZCTA5 02543,745,,,182,0,30,40272,2543
ZCTA5 02554,10842,,,4508,9,375,45521,2554
ZCTA5 02556,2681,,,1043,0,164,47604,2556
ZCTA5 02557,4686,,,1910,31,252,40760,2557
ZCTA5 02558,1146,,,428,0,0,25363,2558
ZCTA5 02559,4059,,,1461,19,61,33418,2559
ZCTA5 02561,301,,,224,12,0,44821,2561
ZCTA5 02562,3052,,,1465,23,113,35436,2562
ZCTA5 02563,9573,,,4393,0,390,38561,2563
ZCTA5 02564,247,,,72,9,0,51471,2564
ZCTA5 02568,4103,,,1552,112,178,32378,2568
ZCTA5 02571,10927,,,4105,91,149,30224,2571
ZCTA5 02575,2707,,,1053,0,268,44342,2575
ZCTA5 02576,4467,,,2195,0,23,42847,2576
ZCTA5 02601,15215,,,5854,69,278,27366,2601
ZCTA5 02630,2064,,,872,0,73,49125,2630
ZCTA5 02631,9773,,,3519,14,538,37226,2631
ZCTA5 02632,10043,,,4604,37,360,39564,2632
ZCTA5 02633,4175,,,1480,12,160,34280,2633
ZCTA5 02635,3131,,,1090,13,135,40798,2635
ZCTA5 02637,167,,,53,0,15,62083,2637
ZCTA5 02638,3117,,,873,0,124,36789,2638
ZCTA5 02639,3160,,,1261,26,94,30811,2639
ZCTA5 02642,4893,,,1645,0,239,34547,2642
ZCTA5 02644,4340,,,2203,0,92,30644,2644
ZCTA5 02645,9487,,,4030,10,253,36054,2645
ZCTA5 02646,1868,,,568,0,81,31388,2646
ZCTA5 02648,6638,,,2778,26,295,38217,2648
ZCTA5 02649,14101,,,5373,28,233,37886,2649
ZCTA5 02650,845,,,242,0,35,41964,2650
ZCTA5 02652,761,,,235,0,59,34033,2652
ZCTA5 02653,5852,,,1972,4,305,31308,2653
ZCTA5 02655,3393,,,909,7,150,37309,2655
ZCTA5 02657,2960,,,604,24,250,31821,2657
ZCTA5 02659,1024,,,364,0,59,31633,2659
ZCTA5 02660,6257,,,2291,24,119,30944,2660
ZCTA5 02663,94,,,0,0,0,37963,2663
ZCTA5 02664,8850,,,3323,12,239,32398,2664
ZCTA5 02666,493,,,68,0,130,29511,2666
ZCTA5 02667,3387,,,1092,8,255,33488,2667
ZCTA5 02668,2723,,,1045,17,193,48906,2668
ZCTA5 02670,1202,,,487,0,52,33750,2670
ZCTA5 02671,877,,,208,3,37,32366,2671
ZCTA5 02672,281,,,105,0,0,58232,2672
ZCTA5 02673,8484,,,3564,190,127,30872,2673
ZCTA5 02675,6616,,,2308,9,174,35584,2675
ZCTA5 02702,4366,,,2235,7,121,41362,2702
ZCTA5 02703,44548,,,18863,168,808,38178,2703
ZCTA5 02713,40,,,12,0,1,53750,2713
ZCTA5 02715,3519,,,1648,18,47,47038,2715
ZCTA5 02717,4885,,,2263,0,109,37257,2717
ZCTA5 02718,6383,,,2997,88,17,34379,2718
ZCTA5 02719,16026,,,6618,7,328,32722,2719
ZCTA5 02720,30699,,,11676,90,315,27077,2720
ZCTA5 02721,26268,,,8530,224,282,22301,2721
ZCTA5 02723,14279,,,5344,219,36,24896,2723
